Orange Drop 715P,600,0.0012,17.8,9.1
Orange Drop 715P,600,0.0015,17.8,8.1
Orange Drop 715P,600,0.0018,17.8,8.6
Orange Drop 715P,600,0.0022,17.8,8.4
Orange Drop 715P,600,0.0027,17.8,8.9
Orange Drop 715P,600,0.0033,17.8,8.1
Orange Drop 715P,600,0.0039,17.8,8.6
Orange Drop 715P,600,0.0047,17.8,8.6
Orange Drop 715P,600,0.0056,17.8,9.1
Orange Drop 715P,600,0.0068,17.8,9.7
Orange Drop 715P,600,0.0082,22.9,8.6
Orange Drop 715P,600,0.01,22.9,9.1
Orange Drop 715P,600,0.012,22.9,9.7
Orange Drop 715P,600,0.015,22.9,10.7
Orange Drop 715P,600,0.018,22.9,11.2
Orange Drop 715P,600,0.022,22.9,12.2
Orange Drop 715P,600,0.027,31.8,10.2
Orange Drop 715P,600,0.033,31.8,11.7
Orange Drop 715P,600,0.039,31.8,12.4
Orange Drop 715P,600,0.047,31.8,13.2
Orange Drop 715P,600,0.056,31.8,14.2
Orange Drop 715P,600,0.068,31.8,15.2
Orange Drop 715P,600,0.082,31.8,16.5
Orange Drop 715P,600,0.1,31.8,18
Orange Drop 715P,600,0.12,41.9,16.5
Orange Drop 715P,600,0.15,41.9,18
Orange Drop 715P,600,0.18,41.9,19.6
Orange Drop 715P,600,0.22,41.9,21.1
Orange Drop 715P,800,0.0056,31.8,7.1
Orange Drop 715P,800,0.0068,31.8,7.4
Orange Drop 715P,800,0.0082,31.8,7.9
Orange Drop 715P,800,0.01,31.8,8.4
Orange Drop 715P,800,0.012,31.8,8.9
Orange Drop 715P,800,0.015,31.8,9.7
Orange Drop 715P,800,0.018,31.8,10.4
Orange Drop 715P,800,0.022,31.8,11.2
Orange Drop 715P,800,0.027,31.8,11.9
Orange Drop 715P,800,0.033,31.8,13
Orange Drop 715P,800,0.039,41.9,11.9
Orange Drop 715P,800,0.047,41.9,12.7
Orange Drop 715P,800,0.056,41.9,13.5
Orange Drop 715P,800,0.068,41.9,14.7
Orange Drop 715P,800,0.082,41.9,15.7
Orange Drop 715P,800,0.1,41.9,17
Orange Drop 715P,1000,0.0056,31.8,7.1
Orange Drop 715P,1000,0.0068,31.8,7.4
